lddmm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unknown,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper*,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior
p_20,0.97119343131943,0.7293803883432661,0.549399652212359,0.7118827992311583,0.0,0.6081389702012014,0.7026262014150741,0.750214591916922,0.5715465044420109,0.626953354114115,0.660028049565178,0.6142920523111759,0.5757792039596022,0.8159243547755501,0.4890350872318231,0.26990470252104304,0.5039761406363015,0.20191598966900523,0.7302322103111833,0.08080807264564922,0.06596701550274339,0.7375102042455759,0.5389348005614607,0.7198540382154138,0.4322298536400384,0.6063887167416367,0.7176797146116433,0.8195379670467534,0.5904059033077925,0.5757177703285684,0.6398640987544393,0.617481432614477,0.4691206534373811,0.310364792644095,0.7654338645357794,0.0,0.29260449925559084,0.0,0.003761165943765087,0.0,0.008438818209332564,0.0,0.0,0.0,0.0,0.0,0.0
p_21,0.9737160095925426,0.7578593316555031,0.6017404615617276,0.8808375806306524,0.3163398672134649,0.7664410673889156,0.7983837214888646,0.857453001994645,0.8147300522056278,0.7497730705372367,0.8019341625405726,0.7246713042356098,0.6983305885296718,0.8683291364034881,0.7015568645425659,0.6635282441438844,0.6702792802406032,0.6397652190772911,0.8212229908891108,0.1846153562130221,0.43940886483049824,0.7564705919417233,0.5867666861527843,0.8682347192690507,0.4392209507104033,0.7395888012380601,0.8110597672133215,0.8789154765949905,0.7863751043036427,0.7511924905745557,0.8274165187567373,0.770702239474199,0.7081118541527344,0.7284671479673931,0.8339973432652744,0.1016948980178139,0.4908592299320876,0.0,0.00381315536790679,0.0,0.6203554019328691,0.0,0.0,0.0,0.0,0.0,0.0
p_22,0.9693895904873153,0.7127245094028082,0.5591788775150791,0.6210798572412869,0.0,0.6057667148204632,0.6854140095837662,0.6905335624831406,0.5003260721268735,0.604124602967894,0.5343434334438663,0.5540669829948948,0.603745686043012,0.7490123631165251,0.44876943625911914,0.3385845277719621,0.3962115217197651,0.3544615362802367,0.7032231053133335,0.0,0.02469135758921768,0.7359861191928649,0.566451077502322,0.6082149998968693,0.0,0.6569230955962647,0.6182553596570478,0.8111019051309539,0.6205052792133334,0.5989616665962865,0.6889979776364453,0.6214475825350325,0.5496535786188346,0.4108108080350621,0.7419380518019444,0.2716049047401352,0.16580310709012325,0.0,0.0013201320044875775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_23,0.9746735178858216,0.7585972597727871,0.605608863869876,0.8451848837641279,0.19289339905691982,0.7883765441467937,0.7868763891711783,0.8169863294261727,0.794583483503103,0.7778967299860853,0.7915755994604101,0.715990450043005,0.7325344772043083,0.8649548262802306,0.7212403093320514,0.6924979370912395,0.683640299655253,0.5451807187862898,0.8101221015659865,0.37499995312500584,0.29958677376459947,0.7530814163391705,0.576060236587207,0.8438585064866219,0.4210526284131381,0.6613429349456618,0.7392153202931987,0.8733009438979743,0.8312236277177407,0.7677031610768198,0.8122676564827739,0.7204146264320812,0.6689986867752543,0.6018718459188492,0.8256912838417122,0.28318581564727296,0.46977811423276117,0.0,0.00360036000359712,0.0,0.5099009774776986,0.0,0.0,0.0,0.0,0.0,0.0
p_24,0.9663268819783218,0.7384068654156918,0.5479175011236906,0.8582664259961222,0.26095060334621994,0.7033883347958642,0.7623288198998459,0.82613377957034,0.7084648483379271,0.739646578396333,0.7766726926386242,0.7314662249375082,0.6935244668968747,0.8604392048196745,0.7198155789839443,0.6067305315481932,0.6053772749194065,0.5261158544528409,0.8132347356719428,0.1739130182734756,0.41592920149494,0.7315942769020709,0.5420310849763236,0.8496861575111208,0.28305084505889117,0.675854662458418,0.7542160902523408,0.8513545342453742,0.7174098257350046,0.7636188635576334,0.8016915183581316,0.7230173726500879,0.6090909077725305,0.6879561981025895,0.8047067747155943,0.1276595473064793,0.50520833070204,0.0,0.00846262329389812,0.0,0.5480943639184326,0.0,0.0,0.0,0.0,0.0,0.0
p_25,0.9698977175042249,0.7453457955248453,0.5597434267997927,0.8351809080695993,0.075438595829486,0.6630511118488,0.7357508374821816,0.7985977976674165,0.7392335529406646,0.6114271972021579,0.6789617474744506,0.7420494670512388,0.6884465584412667,0.8431819897494626,0.6664332598105617,0.4892054295811141,0.6666666635279347,0.08819132968466868,0.7281949092218143,0.0,0.2857142832847425,0.7409169450938913,0.5492071744124168,0.8334583642003665,0.22125813289039672,0.6748463999347253,0.7280789500643426,0.8698064138284852,0.7442672555648152,0.6157688780153452,0.7322125985189123,0.6698305079069233,0.5094420589926136,0.13251366029703784,0.7982555597049669,0.0,0.34011818555405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_26,0.9759646986376843,0.7539565345694289,0.5950627840230066,0.6016002808391803,0.08908685869613743,0.6028333359223116,0.6622836117481239,0.8195613578310935,0.5504355503718779,0.5971409117786651,0.6944279776312567,0.5212264120210707,0.5322283593240381,0.8332639017377121,0.6058598192298791,0.5274527436920109,0.6038487020315282,0.07762557018549794,0.7450066054674698,0.0,0.0309597518427283,0.7562409548796917,0.5879023445327618,0.6975362565983433,0.3278145668227271,0.5812303344600863,0.6468610663508839,0.8388639075423394,0.6272594032397907,0.6048345105207628,0.6904622576207399,0.6761991677556037,0.5194942030571806,0.07430340499765166,0.768879078693931,0.0,0.16155419057715553,0.0,0.0,0.0,0.009756097085068435,0.0,0.0,0.0,0.0,0.0,0.0
p_27,0.9590134113465745,0.7175025017517677,0.5180902721114863,0.8532917453819111,0.4136222884605431,0.6669387198379154,0.7197386395148831,0.7869471692004893,0.6354243536573576,0.663183724639291,0.7556089728453347,0.6044976261512325,0.6963479673854166,0.8183456231821168,0.7070468573310508,0.5487457963570059,0.6067415706829075,0.39237826116881963,0.7586898389382605,0.39999994666667377,0.47631934832512696,0.7143899536449599,0.5123974680314607,0.8432106270538353,0.5377319565454352,0.5869522455279308,0.6614275364362351,0.8479859505828197,0.674336282589083,0.6946390739004081,0.74069291856963,0.7197861849830567,0.6102862048412175,0.4675324646411103,0.7770227553911009,0.3599999280000144,0.4724919078560132,0.0,0.0035492457747730083,0.0,0.007448789432983437,0.0,0.0,0.0,0.0,0.0,0.0
p_28,0.9748714486893184,0.7175260787980452,0.5903699023144899,0.7172184967738865,0.087408948101884,0.640485097668395,0.664409869101085,0.7408161283605621,0.4929812033155113,0.5588914546165087,0.5812015778669762,0.6193753275840375,0.555587976201961,0.8148442905164629,0.640104750617186,0.48392474283418735,0.5229826326711816,0.045454545141497625,0.6766320406413039,0.0,0.2062499983886719,0.7416141593748614,0.5902818487707355,0.7424506382531573,0.12240663773437098,0.5680129581027478,0.6476198727339427,0.8338772497979381,0.5862809350364099,0.6251925262002327,0.6841508354350002,0.7158748107882025,0.56996434810614,0.20448018262791395,0.761880814045863,0.0,0.31120053446545587,0.0,0.002828854273990746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_29,0.9684946012509373,0.7496239361480219,0.5532183598249575,0.7167250432598329,0.10262008621593792,0.750101041919254,0.7625618202679469,0.8137126657871634,0.7211884743079405,0.6616961783769413,0.6381392034123949,0.7466887386312552,0.6994413392191255,0.8369284826698092,0.6077859364170748,0.47055702792955695,0.6767136573810711,0.32601880622242313,0.7940646001032426,0.06249999023437652,0.016326530390115234,0.7501083921433016,0.540881378848683,0.7758249386760507,0.18450826645336582,0.7282361546299234,0.7812666771876026,0.8557336616658818,0.7157577271729609,0.7013765176507073,0.7216376492794382,0.629981360939042,0.5382022461831419,0.3741231459538336,0.8215619412067203,0.018867922748309174,0.11983122261745804,0.0,0.0,0.0,0.0639999974400001,0.0,0.0,0.0,0.0,0.0,0.0
